id, created_time, status_type,link, likes, shares, comments
77590795932_10153325712900933, 2016-03-22T00:45:34+0000, shared_story, http://www.cbsnews.com/news/donaldtrumpandhillaryclintonviewedunfavorablybymajoritycbsnytpoll/,3470, 648, 954
77590795932_10153325206425933, 2016-03-21T20:48:14+0000, mobile_status_update, null,4939, 671, 946
77590795932_10153324631630933, 2016-03-21T16:29:09+0000, shared_story, https://vote.utah.gov/vote/menu/index,309, null, 577
77590795932_10153324626870933, 2016-03-21T16:26:39+0000, shared_story, https://vote.utah.gov/vote/menu/index,309, 41, 577
77590795932_10153324377025933, 2016-03-21T14:39:19+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153324377025933/,2358, 437, 736
77590795932_10153324257435933, 2016-03-21T13:42:40+0000, mobile_status_update, null,587, 69, 218
77590795932_10153322140660933, 2016-03-20T19:23:21+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153322140660933/,3575, 562, 1608
77590795932_10153321427540933, 2016-03-20T13:06:23+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153321427540933/?type=3,702, 89, 1002
77590795932_10153320287540933, 2016-03-20T01:28:18+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153320285385933/?type=3,2589, 199, 930
77590795932_10153320090075933, 2016-03-19T23:29:52+0000, shared_story, https://vote.utah.gov/vote/menu/index,830, 72, 470
77590795932_10153319705645933, 2016-03-19T19:59:33+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153319705645933/?type=3,2666, 259, 579
77590795932_10153319367475933, 2016-03-19T16:48:38+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10151665691615933.1073741825.77590795932/10153319365455933/?type=3,5702, 375, 652
77590795932_10153317376010933, 2016-03-18T21:15:50+0000, shared_story, https://www.facebook.com/JohnKasich/videos/10153313849755933/,2004, null, 1194
77590795932_10153316958560933, 2016-03-18T18:24:57+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153316958560933/,3378, 808, 929
77590795932_10153316563950933, 2016-03-18T14:07:22+0000, mobile_status_update, null,4246, 453, 967
77590795932_10153316490760933, 2016-03-18T13:30:44+0000, shared_story, https://www.johnkasich.com/events/,317, 40, 409
77590795932_10153314910300933, 2016-03-18T00:20:48+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153314910300933/?type=3,4176, 884, 1250
77590795932_10153314953065933, 2016-03-17T23:20:41+0000, shared_story, http://abcnews.go.com/Politics/johnkasichcallsdonaldtrumpstalkriotscompletely/story?id=37729400,9650, 1466, 1382
77590795932_10153314137150933, 2016-03-17T16:37:10+0000, mobile_status_update, null,21368, 3949, 3042
77590795932_10153313920205933, 2016-03-17T15:29:00+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153313920205933/?type=3,3034, 385, 647
77590795932_10153313849755933, 2016-03-17T14:30:00+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153313849755933/,4768, 1536, 766
77590795932_10153312318345933, 2016-03-17T00:04:36+0000, shared_story, https://www.johnkasich.com/blogposts/associatedpresscruzhasnorealisticpath/,2174, 357, 1826
77590795932_10153311909200933, 2016-03-16T21:00:31+0000, shared_story, https://goo.gl/hVdVrb,2231, 411, 1269
77590795932_10153311572620933, 2016-03-16T18:14:55+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153311572620933/,1604, 236, 1046
77590795932_10153311094270933, 2016-03-16T13:55:37+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153311094270933/,6882, 735, 1722
77590795932_10153311023480933, 2016-03-16T13:12:07+0000, shared_story, http://johnkasich.com/Events,525, 64, 791
77590795932_10153310197350933, 2016-03-16T04:03:30+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153310197350933/?type=3,8087, 949, 1555
77590795932_10153310011035933, 2016-03-16T02:09:13+0000, shared_story, http://johnkasich.com/Donate,1900, 458, 1014
77590795932_10153309898820933, 2016-03-16T01:16:28+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153309898820933/,7933, 1482, 4659
77590795932_10153309837155933, 2016-03-16T00:49:56+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153309837155933/?type=3,23559, 4362, 2150
77590795932_10153309370075933, 2016-03-15T21:00:23+0000, shared_story, http://www.sos.state.oh.us/SOS/Upload/sites/ballotTracking/ballotTracking.aspx?page=20547,528, 78, 782
77590795932_10153309274385933, 2016-03-15T20:06:25+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153309274385933/?type=3,1148, 163, 479
77590795932_10153309214745933, 2016-03-15T19:39:01+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153309214745933/,3409, 472, 558
77590795932_10153308929610933, 2016-03-15T17:40:00+0000, shared_story, http://www.foxnews.com/politics/2016/03/15/clintoncommitsbenghazigaffesayingusdidntlosesinglepersoninlibya.html?intcmp=hpbt1,2411, 541, 538
77590795932_10153308901665933, 2016-03-15T16:40:57+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153308901665933/?type=3,1629, 311, 469
77590795932_10153308853360933, 2016-03-15T16:11:12+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153308853360933/,1295, 300, 396
77590795932_10153308711960933, 2016-03-15T15:30:00+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153308711960933/,2621, 453, 957
77590795932_10153307933330933, 2016-03-15T12:25:00+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153307933330933/,2850, 771, 1048
77590795932_10153307933220933, 2016-03-15T10:55:00+0000, shared_story, http://www.sos.state.oh.us/SOS/Upload/sites/ballotTracking/ballotTracking.aspx?page=20547,1312, 314, 575
77590795932_10153307571250933, 2016-03-15T03:00:00+0000, shared_story, http://www.sos.state.oh.us/SOS/Upload/sites/ballotTracking/ballotTracking.aspx?page=20547,890, 137, 967
77590795932_10153307312385933, 2016-03-15T00:38:31+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153307312385933/,2427, 672, 1181
77590795932_10153307035195933, 2016-03-14T22:27:28+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153307035195933/,1871, 335, 3126
77590795932_10153306814520933, 2016-03-14T20:48:31+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153306814520933/?type=3,1286, 168, 817
77590795932_10153306707305933, 2016-03-14T19:40:21+0000, shared_story, https://www.johnkasich.com/blogposts/formerohiostatefootballcoachesjimtresseljohncooperearlebrucelukefickellsupportjohnkasichforpresident/,1630, 259, 589
77590795932_10153306559630933, 2016-03-14T18:26:53+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153306559630933/,1021, 98, 1793
77590795932_10153306552900933, 2016-03-14T18:22:22+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153306552900933/,811, 49, 516
77590795932_10153306484895933, 2016-03-14T17:38:49+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153306484895933/?type=3,1856, 500, 471
77590795932_10153306463420933, 2016-03-14T17:28:09+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153306459200933/?type=3,1252, 85, 291
77590795932_10153306365915933, 2016-03-14T16:40:17+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153306365915933/,3170, 886, 628
77590795932_10153306038440933, 2016-03-14T14:34:17+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153306038440933/,1402, 271, 2407
77590795932_10153306013345933, 2016-03-14T13:51:15+0000, shared_story, http://johnkasich.com/Events,140, 33, 555
77590795932_10153305877370933, 2016-03-14T12:31:57+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153305877370933/?type=3,1063, 151, 628
77590795932_10153304919980933, 2016-03-14T01:41:41+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153304919980933/?type=3,2737, 624, 2000
77590795932_10153304578175933, 2016-03-13T23:05:53+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153304578175933/?type=3,2590, 837, 760
77590795932_10153304474950933, 2016-03-13T22:25:12+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153304474950933/,1570, 277, 1574
77590795932_10153304107585933, 2016-03-13T19:54:24+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153304105825933/?type=3,1409, 123, 695
77590795932_10153303997110933, 2016-03-13T18:53:31+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153303997110933/?type=3,4517, 1128, 755
77590795932_10153303854605933, 2016-03-13T17:33:32+0000, shared_story, http://www.cleveland19.com/story/31456751/kasichmakingtheroundsinohioonsunday,1129, 105, 460
77590795932_10153303840650933, 2016-03-13T17:27:32+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153303840650933/,1210, 109, 429
77590795932_10153303507565933, 2016-03-13T15:19:00+0000, shared_story, http://voterlookup.sos.state.oh.us/voterlookup.aspx,740, 78, 471
77590795932_10153303491515933, 2016-03-13T14:00:24+0000, shared_story, http://www.wsj.com/articles/pollfindskasichrubiomovinginoppositedirections1457874084?mod=djemalertPolitics,4664, 510, 694
77590795932_10153303326210933, 2016-03-13T12:16:37+0000, mobile_status_update, null,1007, 135, 332
77590795932_10153300379740933, 2016-03-13T02:05:56+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153300379740933/?type=3,1909, 311, 562
77590795932_10153299846300933, 2016-03-12T23:21:06+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153299846300933/,2028, 330, 2071
77590795932_10153298857745933, 2016-03-12T20:44:36+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153298857745933/,3906, 1450, 847
77590795932_10153298218195933, 2016-03-12T18:41:00+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153298218195933/,2170, 389, 2316
77590795932_10153298136630933, 2016-03-12T17:50:27+0000, shared_story, http://www.sos.state.oh.us/sos/elections/electionsofficials/boeDirectory.aspx,174, 26, 323
77590795932_10153297658100933, 2016-03-12T16:25:02+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153297658100933/,13727, 12123, 2143
77590795932_10153297488730933, 2016-03-12T15:26:18+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153297488730933/?type=3,1323, 248, 531
77590795932_10153295725010933, 2016-03-12T03:59:28+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153295725010933/?type=3,13772, 6745, 3180
77590795932_10153294674485933, 2016-03-11T22:48:55+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153294674485933/,2025, 417, 1994
77590795932_10153294566715933, 2016-03-11T22:07:59+0000, shared_story, https://www.johnkasich.com/blogposts/factcheckingdonaldtrumpskasichattackad/,1753, 395, 348
77590795932_10153294479870933, 2016-03-11T21:44:59+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153294479870933/?type=3,1019, 77, 179
77590795932_10153294358695933, 2016-03-11T20:22:56+0000, shared_story, http://www.sos.state.oh.us/sos/elections/electionsofficials/boeDirectory.aspx,378, 60, 193
77590795932_10153293814230933, 2016-03-11T17:11:01+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153293814230933/,1005, 249, 370
77590795932_10153293580820933, 2016-03-11T15:21:53+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153293580820933/,1517, 529, 309
77590795932_10153292327495933, 2016-03-11T04:26:01+0000, shared_story, https://www.eventbrite.com/e/battlegroundohiotownhallmeetingwithgovjohnkasichtickets22632628802,824, 145, 345
77590795932_10153292295220933, 2016-03-11T04:06:28+0000, added_photos, https://www.facebook.com/JohnKasich/photos/a.10150241036600933.328337.77590795932/10153292295220933/?type=3,2593, 412, 226
77590795932_10153292268710933, 2016-03-11T03:50:04+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153292268710933/,2427, 411, 211
77590795932_10153292158110933, 2016-03-11T03:31:20+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153292158110933/,4630, 680, 276
77590795932_10153292137140933, 2016-03-11T03:16:07+0000, added_video, https://www.facebook.com/JohnKasich/videos/10153292137140933/,1916, 364, 153
